Предложение,Ошибка,Глагол,Нужная форма,Число,Омофоничность инфинитива и формы третьего лица,Омографичность инфинитива и формы третьего лица,Наличие ГС,ГС,Расстояние между глаголом и ГС,Позиция глагола по отношению к ГС,Синтаксическая роль ГС в предложении
Вам за это беспокоится не надо!,есть,беспокоиться,нефинитная,-,да,да,есть,надо,1,препозиция,сказуемое (категория состояния)
"Поэтому очень важно не боятся ошибаться, рисковать, экспериментировать, пробовать, добиваться, не сидеть, сложа руки",есть,бояться,нефинитная,-,да,да,есть,важно,1,постпозиция,сказуемое (категория состояния)
"Повторюсь, доллар может вернутся выше 70, в одном из двух случаев, либо санкции отменят, либо ЦБ начнёт покупать доллары (зачем им их покупать я не знаю)",есть,вернуться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Еще тысячи остались инвалидами, но это поколение нашло в себе силы не просто вернутся к мирной жизни, а как и мой дедушка закончить институт, приобрести мирную профессию, стать инженерами, строителями, учителями и возродить из руин родную страну",есть,вернуться,нефинитная,-,да,да,есть,силы,2,постпозиция,дополнение
Вместо звонков по мобилам будем как раньше договариваться встретится возле такого то ларька во столькото,есть,встретиться,нефинитная,-,да,да,есть,будем,2,постпозиция,сказуемое (финитный глагол)
У больного мальчика Дима Рогачева была мечта встретится с Президентом и попить вместе чай,есть,встретиться,нефинитная,-,да,да,есть,мечта,0,постпозиция,подлежащее
"Не могу дозвонится до их коллцентра, а за каждую попытку берут по 5 евро за роуминг",есть,дозвониться,нефинитная,-,да,да,есть,могу,0,постпозиция,сказуемое (финитный глагол)
"Конечно стоит учитывать что какие-то проги могут заартачится, если они обновились а винда нет",есть,заартачиться,нефинитная,-,да,да,есть,могут,0,постпозиция,сказуемое (финитный глагол)
рада буду заботится о вашем малыше/ малышке по несколько часов в день,есть,заботиться,нефинитная,-,да,да,есть,рада,0,постпозиция,сказуемое (именная часть)
"Такое состояние, в лучшем случае, может закончится пребыванием в специальной клинике",есть,закончиться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
Да и кто хочет заморочится),есть,заморочиться,нефинитная,-,да,да,есть,хочет,0,постпозиция,сказуемое (финитный глагол)
"Не могу злится на тех, кто помогал мне",есть,злиться,нефинитная,-,да,да,есть,могу,0,постпозиция,сказуемое (финитный глагол)
И зрение может испортится?,есть,испортиться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Сделай сверху просто полоску, все равно не будет нравится кому-то",есть,нравиться,нефинитная,-,да,да,есть,будет,0,постпозиция,сказуемое (финитный глагол)
"Нужно, прежде всего, нравится самому себе – тогда есть вероятность понравиться окружающим",есть,нравиться,нефинитная,-,да,да,есть,нужно,2,постпозиция,сказуемое (категория состояния)
"Она позволяет читателю ознакомится со всем многообразием значений сур, а также предлагает новый подход к исследованию предлогов вообще",есть,ознакомиться,нефинитная,-,да,да,есть,позволяет,1,постпозиция,сказуемое (финитный глагол)
Тогда вам необходимо ознакомится с Национальном корпусом русского языка,есть,ознакомиться,нефинитная,-,да,да,есть,необходимо,0,постпозиция,сказуемое (категория состояния)
С готовыми работами можете ознакомится в инстаграме zvonivtapok,есть,ознакомиться,нефинитная,-,да,да,есть,можете,0,постпозиция,сказуемое (финитный глагол)
"Цель статьи – показать: совмещение работы с учебой может как положительно, так и отрицательно отразится на успеваемости",есть,отразиться,нефинитная,-,да,да,есть,может,5,постпозиция,сказуемое (финитный глагол)
"Нео попытался отстранится, но она не дала, теснее обвившись вокруг него",есть,отстраниться,нефинитная,-,да,да,есть,попытался,0,постпозиция,сказуемое (финитный глагол)
но химия может пригодится в жизни (лично для себя),есть,пригодиться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Гуманитарные курсы нужны для того, что бы человек умел или учился наращивать фундамент ту культурную базу, которая может пригодится ему потом приобщении с людьми других культур, следовательно, это способствует лучшему пониманию",есть,пригодиться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Думаю да, я после того как на скорости 50+ - км/ ч врезался в столб, и сломал весь капот и бампер, больше не хочу садится за ваз",есть,садиться,нефинитная,-,да,да,есть,хочу,0,постпозиция,сказуемое (финитный глагол)
Ну тут вы не правы) не могу согласится,есть,согласиться,нефинитная,-,да,да,есть,могу,0,постпозиция,сказуемое (финитный глагол)
"Однако нельзя не согласится, что умение вести деловые переговоры является крайне важным и очень полезным навыком в ежедневном управлении",есть,согласиться,нефинитная,-,да,да,есть,нельзя,1,постпозиция,сказуемое (категория состояния)
"Эти результаты дают представление о состоянии общественности, но не являются неожиданными, ибо несколько поколений в России убеждены, что без жестокости нельзя справится с преступностью",есть,справиться,нефинитная,-,да,да,есть,нельзя,0,постпозиция,сказуемое (категория состояния)
"Если время ожидания самолета до Дубровника будет больше 4 часов, у Вас есть замечательная возможность побродить по красивейшим улицам Загреба, посетить интересный музей, приобрести сувениры и вернуться обратно ваэропорт",нет,вернуться,нефинитная,-,да,да,есть,возможность,11,постпозиция,дополнение
А ведь иногда и вправду очень хочется вернуться в детство,нет,вернуться,нефинитная,-,да,да,есть,хочется,0,постпозиция,сказуемое (категория состояния)
"Это зрелище вызывает желание вернуться в теплую постель и закутаться в уютное байковое одеяло, забыв обо всем",нет,вернуться,нефинитная,-,да,да,есть,желание,0,постпозиция,дополнение
"Ответы на эти вопросы написаны для студента, которого ничего не интересует кроме денег, который сможет выучиться с помощью спецкурсов, готовящихк различным сферам и предназначенных для решения определенных задач",нет,выучиться,нефинитная,-,да,да,есть,сможет,0,постпозиция,сказуемое (финитный глагол)
"Это толкает меня трудиться больше и усерднее, чтобы суметь превзойти их и выучиться на замечательного специалиста",нет,выучиться,нефинитная,-,да,да,нет,-,-,-,-
"В этом тексте автор заключает суть того, о чем будет говориться далее, сообщая читателю необходимую информацию",нет,говориться,нефинитная,-,да,да,есть,будет,0,постпозиция,сказуемое (финитный глагол)
"Дальше может говориться о том, что же такое математическая модель и может быть дан пример такой модели",нет,говориться,нефинитная,-,да,да,есть,может,0,постпозиция,сказуемое (финитный глагол)
"Кроме уменьшения числа автомобилей на дорогах, это поспособствует и улучшению экологического аспекта в городе, ведь воздух будет меньше загрязняться выхлопными газами",нет,загрязняться,нефинитная,-,да,да,есть,будет,1,постпозиция,сказуемое (финитный глагол)
"К сожалению, в Москве не удалось полностью избавиться от пробок",нет,избавиться,нефинитная,-,да,да,есть,удалось,1,постпозиция,сказуемое (категория состояния)
"Движешься вдоль зеленой аллеи с посаженными деревьями, которые неподвижно стоят и только некоторые листья могут немного колыхнуться от ветра, создавшего от проезжающей мимо машины, в которой произносится звук музыки, разговоры и смех, и через пару секунд все затихает снова",нет,колыхнуться,нефинитная,-,да,да,есть,могут,1,постпозиция,сказуемое (финитный глагол)
"Кроме того, Вы побываете на Воробьевых горах и сможете увидеть невероятную панораму Москвы и насладиться видом столицы с высоты птичьего полета",нет,насладиться,нефинитная,-,да,да,есть,сможете,5,постпозиция,сказуемое (финитный глагол)
"Поездка в Италию всей группой - это прекрасная возможность посетить страну с великой и интересной историей, познакомиться с новыми интересными людьми и насладиться выходными",нет,насладиться,нефинитная,-,да,да,есть,возможность,13,постпозиция,сказуемое (именная часть)
"Согласитесь, любому туристу понравится безлюдный пляж, где он сможет насладиться отдыхом в тишине и спокойствии",нет,насладиться,нефинитная,-,да,да,есть,сможет,0,постпозиция,сказуемое (финитный глагол)
Я бы посоветовала посетить чудесные города полуострова: насладиться прогулкой по старым улочкам Опатии и Пореча,нет,насладиться,нефинитная,-,да,да,есть,посоветовала,4,постпозиция,сказуемое (финитный глагол)
" Думаю, это идеальное место для тех, кто ищет спокойствия и гармонии с природой, хочет насладиться теплотой солнца и бескрайностью моря, прогуляться по старинным улочкам чудесных городков",нет,насладиться,нефинитная,-,да,да,есть,хочет,0,постпозиция,сказуемое (финитный глагол)
"Я останавливаюсь, чтобы насладиться моментом",нет,насладиться,нефинитная,-,да,да,нет,-,-,-,-
"Радость наполняет вас изнутри вы замедляете темп, чтобы насладиться сполна",нет,насладиться,нефинитная,-,да,да,нет,-,-,-,-
"Научится рисовать и чертить можно, в этом нет никакого сомнения, но чтобы творить в данном случае, заниматься изменением внутреннего и внешнего интерьера к этому должна лежать душа, это должно нравиться, а не быть источником заработка",нет,нравиться,нефинитная,-,да,да,есть,должно,0,постпозиция,сказуемое (категория состояния)
"В Варшаве очень много заведений, где можно хорошо отдохнуть, повеселиться и обогатиться духовно",нет,обогатиться,нефинитная,-,да,да,есть,можно,4,постпозиция,сказуемое (категория состояния)
В этом случае можно обратиться к статье Сонина Уроки экономики,нет,обратиться,нефинитная,-,да,да,есть,можно,0,постпозиция,сказуемое (категория состояния)
"Именно поэтому Высшая школа экономики приглашает тебя этим летом окунуться в теплое море, повеселиться и практиковать иностранный язык с прекрасной компанией!",нет,окунуться,нефинитная,-,да,да,есть,приглашает,3,постпозиция,сказуемое (финитный глагол)
"Если окунуться в это с головой как говорится, то можно проанализировать факт того, почему важные персоны или просто богатенькие на крутой тачке счиают что им должны все уступать",нет,окунуться,нефинитная,-,да,да,нет,-,-,-,-
Пора и окунуться,нет,окунуться,нефинитная,-,да,да,есть,пора,1,постпозиция,сказуемое (категория состояния)
"Именно на импортных автомобилях в пробках чаще всего встречаются мигалки, которые извещают всех о том, что хотите вы или нет, но надо найти место, куда отодвинуться, чтобы дать дорогу людям высшего общества",нет,отодвинуться,нефинитная,-,да,да,нет,-,-,-,-
Самое время отправиться по стопам великого испанского архитектора,нет,отправиться,нефинитная,-,да,да,есть,время,0,постпозиция,сказуемое (категория состояния)
